Title,Production,Certificate,Genre(s),Rating
Continuum,(I) (2012–2015),,"Action, Sci-Fi, Thriller",7.6
Big Mouth,(2017– ),18+,"Animation, Comedy, Romance",8.0
Sleepy Hollow,(2013–2017),,"Action, Adventure, Crime",7.4
Santa Clarita Diet,(2017–2019),18,"Comedy, Horror",7.8
Terminator: The Sarah Connor Chronicles,(2008–2009),,"Action, Drama, Fantasy",7.7
Twin Peaks,(2017),,"Crime, Drama, Fantasy",8.5
Quantico,(2015–2018),18,"Crime, Drama, Mystery",6.7
Friday Night Lights,(2006–2011),,"Drama, Sport",8.6
Dead to Me,(2019– ),18,"Comedy, Drama",8.0
Flight of the Conchords,(2007–2009),,"Comedy, Music, Musical",8.5
Chappelle's Show,(2003–2006),,"Comedy, Music",8.8
Black Books,(2000–2004),,Comedy,8.5
The Last Ship,(2014–2018),16,"Action, Drama, Sci-Fi",7.5
The Shannara Chronicles,(2016–2017),18,"Adventure, Fantasy, Sci-Fi",7.2
A Series of Unfortunate Events,(2017–2019),7,"Adventure, Comedy, Drama",7.8
Jericho,(2006–2008),,"Action, Drama, Mystery",7.9
Pushing Daisies,(2007–2009),,"Comedy, Drama, Fantasy",8.3
Shadowhunters: The Mortal Instruments,(2016–2019),18,"Action, Drama, Fantasy",6.6
Peep Show,(2003–2015),,Comedy,8.6
CSI: Miami,(2002–2012),,"Action, Crime, Drama",6.4
Dragon Ball,(1995–2003),,"Animation, Action, Adventure",8.5
Tandav,(2021– ),18,"Drama, Thriller",4.2
Star Trek: Deep Space Nine,(1993–1999),,"Action, Adventure, Drama",8.0
V,(2009–2011),,"Drama, Sci-Fi, Thriller",6.8
Extras,(2005–2007),,"Comedy, Drama",8.3
Forever,(2014–2015),,"Crime, Drama, Fantasy",8.3
Full House,(1987–1995),U,"Comedy, Drama, Family",6.7
The Last Man on Earth,(2015–2018),,"Action, Comedy, Drama",7.3
Nip/Tuck,(2003–2010),,Drama,7.6
The Morning Show,(I) (2019– ),15+,Drama,8.4
His Dark Materials,(2019– ),12+,"Adventure, Drama, Family",7.9
