Title,Production,Certificate,Genre(s),Rating
Enaaya,(2019– ),,Drama,8.5
The Dresden Files,(2007–2008),,"Action, Crime, Drama",7.7
Miracle Workers,(2019– ),,"Comedy, Drama, Fantasy",7.0
Red Band Society,(2014–2015),,"Comedy, Drama",7.9
Gran Hotel,(2011–2013),18,"Crime, Drama, Mystery",8.4
Senke nad Balkanom,(2017– ),18,"Crime, Drama, Thriller",9.0
Party of Five,(1994–2000),,"Drama, Family",6.8
White Gold,(2017–2019),,Comedy,7.4
Make It or Break It,(2009–2012),,"Drama, Sport",7.5
Brave New World,(2020),,"Drama, Sci-Fi",7.1
Missing,(2012),,"Action, Drama, Thriller",6.9
Eli Stone,(2008–2009),,"Comedy, Drama, Fantasy",7.6
Ugly Americans,(2010–2012),,"Animation, Comedy, Fantasy",8.0
You Me Her,(2016– ),18,"Comedy, Drama, Romance",7.0
Twisted,(2013–2014),,"Drama, Mystery, Thriller",7.3
Vera,(2011– ),,"Crime, Drama, Mystery",7.9
Dancing with the Stars,(I) (2005– ),,"Family, Game-Show, Music",4.7
Home Movies,(1999–2004),,"Animation, Comedy, Drama",8.1
Taz-Mania,(1991–1995),,"Animation, Comedy, Family",6.8
The Yogi Bear Show,(1961–1988),,"Animation, Comedy, Family",6.6
American Crime,(2015–2017),,"Crime, Drama",7.8
Tae-yang-eui hoo-ye,(2016),16,"Action, Comedy, Drama",8.3
Seinto Seiya,(1986–1989),,"Animation, Action, Adventure",8.5
Drunk History,(2013–2019),,"Comedy, History",7.8
Channel Zero,(2016–2018),,"Crime, Drama, Fantasy",7.2
Fi,(2017–2018),,"Drama, Romance",7.8
Kenny vs. Spenny,(2002– ),,"Comedy, Game-Show, Reality-TV",7.9
Backstrom,(2015),,"Comedy, Crime, Drama",7.4
The Road Runner Show,(1966–1973),,"Animation, Family, Comedy",8.0
Up All Night,(2011–2012),,Comedy,6.5
La Femme Nikita,(1997–2001),,"Action, Drama, Romance",7.5
Ashes to Ashes,(2008–2010),,"Crime, Drama, Fantasy",8.2
The Love Boat,(1977–1987),,"Comedy, Drama, Romance",6.1
Being Erica,(2009–2011),,"Adventure, Comedy, Drama",7.5
"Roswell, New Mexico",(2019– ),,"Drama, Romance, Sci-Fi",6.2
Deadman Wonderland,(2011),16,"Animation, Action, Drama",7.2
Chance,(2016–2017),,"Drama, Mystery, Thriller",7.7
Timon & Pumbaa,(1995–1999),,"Animation, Adventure, Comedy",7.1
America's Got Talent,(2006– ),,"Family, Game-Show, Music",5.8
Scooby-Doo! Mystery Incorporated,(2010–2013),,"Animation, Adventure, Comedy",8.0
Clannad: After Story,(2008–2009),,"Animation, Comedy, Drama",8.6
Magnum P.I.,(2018– ),,"Action, Adventure, Crime",5.8
Kkotboda namja,(2009),13,"Comedy, Drama, Romance",7.9
Kuzey Güney,(2011–2013),,Drama,7.6
Third Watch,(1999–2005),,"Action, Crime, Drama",7.9
Impulse,(2018–2019),A,"Action, Drama, Sci-Fi",7.5
A Bit of Fry and Laurie,(1987–1995),,Comedy,8.3
Journeyman,(2007),,"Fantasy, Romance, Sci-Fi",8.0
Byeol-e-seo on geu-dae,(2013–2014),16,"Comedy, Drama, Fantasy",8.2
Knight Rider,(2008–2009),,"Adventure, Mystery, Thriller",5.6
The Nostalgia Critic,(2007– ),,"Comedy, Fantasy",7.7
Epidemiya,(I) (2019),18,"Drama, Sci-Fi, Thriller",7.3
The Crossing,(2018),,"Adventure, Drama, Sci-Fi",7.2
Disjointed,(2017–2018),,Comedy,6.8
Pennyworth,(2019– ),,"Action, Crime, Drama",7.9
Red vs. Blue,(2003– ),,"Animation, Short, Action",8.3
Sweet Home,(2020– ),18,"Drama, Fantasy, Horror",7.4
The Adventures of Pete & Pete,(1992–1996),,"Comedy, Drama",8.3
Mythic Quest: Raven's Banquet,(2020– ),A,Comedy,7.6
Storage Wars,(2010– ),,Reality-TV,6.4
Stumptown,(2019–2020),,"Crime, Drama",7.5
El Chavo del Ocho,(1972–1983),UA,"Comedy, Crime, Family",8.6
The Tick,(1994–1997),,"Animation, Action, Adventure",7.8
Totally Spies!,(2001–2014),,"Animation, Action, Adventure",7.0
Umbre,(2014– ),,"Crime, Drama, Thriller",8.8
Raising Dion,(2019– ),13+,"Drama, Sci-Fi",7.2
My Life as a Teenage Robot,(2003–2009),,"Animation, Action, Adventure",6.9
The Mysteries of Laura,(2014–2016),,"Comedy, Crime, Mystery",6.8
The Dick Van Dyke Show,(1961–1966),,"Comedy, Family",8.3
Joan of Arcadia,(2003–2005),,"Comedy, Crime, Drama",7.0
Crime Scene: The Vanishing at the Cecil Hotel,(2021),16,"Documentary, Crime, Mystery",5.9
My Family,(2000–2011),,Comedy,7.5
The Messengers,(2015),,"Drama, Fantasy, Mystery",6.5
Ask 101,(2020– ),16,"Comedy, Drama, Romance",7.5
Solar Opposites,(2020– ),,"Animation, Comedy, Sci-Fi",8.0
Man with a Plan,(2016–2020),All,Comedy,7.0
Kevin Can Wait,(2016–2018),,Comedy,5.6
Gentleman Jack,(2019– ),,"Biography, Drama, History",8.2
Bard of Blood,(2019– ),16+,"Action, Adventure, Drama",6.8
Kim's Convenience,(2016– ),16,Comedy,8.2
Truth Seekers,(2020),16,"Comedy, Drama, Fantasy",7.1
Inside Edge,(2017– ),18+,"Drama, Sport",8.0
The Girlfriend Experience,(2016– ),18,Drama,7.1
Hogan's Heroes,(1965–1971),,"Comedy, War",7.9
Mr. Show with Bob and David,(1995–1998),,Comedy,8.4
The Real Ghost Busters,(1986–1991),,"Animation, Action, Comedy",7.6
Hunted,(2012),,"Action, Drama",7.4
Little Dorrit,(2008),,"Drama, Mystery, Romance",8.2
Perfect Strangers,(1986–1993),,"Comedy, Family",7.2
The Looney Tunes Show,(2011–2014),,"Animation, Short, Adventure",7.5
Shark Tank,(2009– ),13,"Family, Reality-TV",7.6
The Walking Dead: World Beyond,(2020– ),16,"Drama, Horror, Sci-Fi",4.2
The War at Home,(2005–2007),,"Comedy, Romance",7.5
Eastwick,(2009–2010),,"Drama, Fantasy",6.4
The Dead Zone,(2002–2007),,"Drama, Fantasy, Mystery",7.4
Cranford,(2007–2010),,Drama,8.3
Made in Heaven,(2019– ),16+,"Drama, Romance",8.3
Paurashpur,(2020– ),A,Drama,8.6
Payitaht Abdülhamid,(2017– ),,"Action, Drama, History",5.1
Teenage Mutant Ninja Turtles,(2003–2010),,"Animation, Action, Adventure",7.7
The Kids in the Hall,(1988–2021),,Comedy,8.3
October Faction,(2020),18,"Adventure, Drama, Fantasy",6.1
The Valhalla Murders,(2019– ),18,"Crime, Drama, Mystery",7.1
Mortal Kombat,(2011–2013),,"Action, Adventure, Crime",7.5
The Disappearance of Madeleine McCann,(2019– ),13,"Documentary, Crime",6.6
Ansatsu kyôshitsu,(2013–2016),18,"Animation, Action, Comedy",8.0
A Million Little Things,(2018– ),13,"Comedy, Drama, Romance",8.0
Teenage Mutant Ninja Turtles,(2012–2017),,"Animation, Action, Adventure",7.8
Rocket Power,(1999–2004),,"Animation, Short, Action",6.8
Lilo & Stitch: The Series,(2003–2006),,"Animation, Action, Adventure",6.8
Murphy Brown,(1988–2018),,Comedy,6.8
Camp Lazlo!,(2004–2008),,"Animation, Short, Adventure",6.4
Baby,(2018–2020),18,Drama,6.8
Ravenswood,(2013–2014),,"Drama, Horror",6.5
Apharan,(2018– ),18+,"Action, Thriller",8.3
The Odd Couple,(2015–2017),,Comedy,6.4
Station 19,(2018– ),,"Action, Drama, Romance",6.6
Alex Rider,(2020– ),16,"Action, Adventure, Family",7.5
The Oblongs...,(2001–2002),,"Animation, Comedy, Sci-Fi",7.0
The Brave,(2017–2018),,"Action, Drama, Thriller",7.6
Aarya,(2020– ),15+,"Crime, Drama, Thriller",7.8
Survivors,(2008–2010),,"Drama, Sci-Fi",7.6
Heroes,(I) (2006– ),,Drama,7.5
Tabula Rasa,(2017),,"Drama, Thriller",8.1
Undateable,(2014–2016),,Comedy,7.3
Between,(2015–2016),18,"Drama, Mystery, Sci-Fi",6.0
Dix pour cent,(2015–2020),,"Comedy, Drama",8.3
The Widow,(I) (2019),16,"Drama, Mystery, Thriller",6.9
The Magic School Bus,(1994–1997),,"Animation, Adventure, Comedy",7.8
Whiskey Cavalier,(2019),,"Action, Adventure, Comedy",7.1
Total Drama Island,(2007–2014),,"Animation, Action, Comedy",7.2
Dirty Jobs,(2005–2012),,Reality-TV,7.7
The Cape,(2011),,"Action, Drama",5.7
The Path,(2016–2018),,Drama,7.3
Ôran kôkô hosutobu,(2006),,"Animation, Comedy, Romance",8.2
Viva la Bam,(2003–2006),,"Comedy, Reality-TV",6.7
Boruto: Naruto Next Generations,(2017– ),Not Rated,"Animation, Action, Adventure",7.0
The Conners,(2018– ),,Comedy,5.3
Persons Unknown,(2010),,"Drama, Mystery, Thriller",6.9
WWE Monday Night RAW,(1993– ),,"Action, Sport",7.8
Battle Creek,(2015),,"Comedy, Crime, Drama",7.3
That Mitchell and Webb Look,(2006–2010),,"Comedy, Fantasy",8.0
CHiPs,(1977–1983),,"Crime, Drama, Mystery",6.4
Sweet Magnolias,(2020– ),16,"Drama, Romance",7.4
GCB,(2012),,"Comedy, Drama",7.0
Angie Tribeca,(2016–2018),,"Action, Comedy, Crime",7.0
Father Brown,(2013– ),,"Crime, Drama, Mystery",7.7
Poyraz Karayel,(2015–2017),,"Action, Drama",8.0
Ghost Adventures,(2008– ),,"Documentary, History, Reality-TV",7.5
Kings,(2009),,"Drama, Sci-Fi",8.2
Jean-Claude Van Johnson,(2016–2017),,"Action, Comedy, Drama",7.6
Deception,(2018),13,"Crime, Drama, Mystery",7.5
Treadstone,(2019),16,Action,7.0
Mission: Impossible,(1966–1973),,"Action, Adventure, Crime",7.9
Le Bureau des Légendes,(2015– ),,Drama,8.7
About a Boy,(2014–2015),,"Comedy, Drama, Romance",7.4
The Beverly Hillbillies,(1962–1971),,"Comedy, Family",7.2
Crisis,(2014),,"Action, Drama, Thriller",7.2
Clarissa Explains It All,(1991–1994),,"Comedy, Family",7.2
The Durrells,(2016–2019),,"Biography, Comedy, Drama",8.2
"What's New, Scooby-Doo?",(2002–2006),,"Animation, Adventure, Comedy",7.3
Vicious,(2013–2016),,Comedy,8.1
Men at Work,(2012–2014),,"Comedy, Drama, Romance",7.1
WKRP in Cincinnati,(1978–1982),,Comedy,7.9
Teenage Bounty Hunters,(2020),18,"Comedy, Crime, Drama",7.7
Fairly Legal,(2011–2012),,"Comedy, Drama",7.3
Legit,(2013–2014),,Comedy,8.2
Cuckoo,(II) (2012– ),,Comedy,7.3
Bonanza,(1959–1973),,Western,7.3
The New Tom & Jerry Show,(1975–1977),,"Animation, Family, Comedy",7.8
Tehran,(2020– ),A,"Drama, Thriller",7.4
The Riches,(2007–2008),,"Comedy, Crime, Drama",7.8
Okkupert,(2015– ),18,"Drama, Thriller",7.7
Sanditon,(2019),,"Drama, Romance",7.8
The Neighbors,(2012–2014),,"Comedy, Family, Romance",6.8
Bionic Woman,(2007),,"Action, Sci-Fi, Thriller",5.7
Dirty Money,(2018– ),16,"Documentary, Crime",8.1
"Doogie Howser, M.D.",(1989–1993),,"Comedy, Drama, Family",6.5
Meme Review,(2017– ),,"Short, Comedy, Talk-Show",8.7
Penny Dreadful: City of Angels,(2020),18,"Crime, Drama, Fantasy",6.0
Leila,(2019– ),15,"Drama, Sci-Fi",4.8
The Tonight Show with Conan O'Brien,(2009–2010),,"Comedy, Music, Talk-Show",8.0
Clannad,(2007–2008),,"Animation, Comedy, Drama",7.9
The Chicago Code,(2011),,"Action, Crime, Drama",7.7
Sanford and Son,(1972–1977),,Comedy,7.9
The Practice,(1997–2004),,"Crime, Drama, Mystery",7.7
Starsky and Hutch,(1975–1979),,"Action, Crime, Drama",7.0
"The Adventures of Brisco County, Jr.",(1993–1994),,"Action, Adventure, Comedy",8.3
Bunheads,(2012–2013),,"Comedy, Drama, Family",7.6
Mad Dogs,(2015–2016),,"Comedy, Crime, Drama",7.5
The Gates,(2010),,"Crime, Drama, Fantasy",7.1
Black Clover,(2017– ),13,"Animation, Action, Adventure",8.1
American Housewife,(2016– ),,Comedy,7.3
Day Break,(2006–2007),,"Action, Drama, Sci-Fi",8.0
Firefly Lane,(2021– ),18,"Drama, Romance",7.6
Mind Your Language,(1977–1986),,Comedy,8.7
The Apprentice,(2004–2017),,"Game-Show, Reality-TV",4.9
Buck Rogers in the 25th Century,(1979–1981),,"Action, Adventure, Sci-Fi",6.9
The Jeffersons,(1975–1985),,Comedy,7.4
Goof Troop,(1992–1993),,"Animation, Adventure, Comedy",6.8
Betaal,(2020– ),18,"Action, Horror, Thriller",5.3
Punk'd,(2003–2015),,"Comedy, Reality-TV",5.9
Manhattan,(2014–2015),18,"Drama, History, War",7.8
Too Hot to Handle,(2020– ),18,"Game-Show, Reality-TV, Romance",4.5
Zone Blanche,(2017– ),18,"Crime, Drama, Horror",7.5
Deadliest Catch,(2005– ),,"Documentary, Adventure, Reality-TV",7.8
The Listener,(2009–2014),,"Crime, Drama, Fantasy",6.8
TRON: Uprising,(2012–2013),PG,"Animation, Action, Adventure",8.2
Car Masters: Rust to Riches,(2018– ),,Reality-TV,8.8
Martin,(1992–1997),,"Comedy, Drama, Romance",7.4
Batman: The Brave and the Bold,(2008–2011),,"Animation, Action, Adventure",7.3
Come Fly with Me,(2010–2011),,Comedy,7.5
Spawn,(1997–1999),,"Animation, Action, Adventure",8.1
Masterchef,(II) (2010– ),,"Game-Show, Reality-TV",7.3
Chewing Gum,(2015–2017),,Comedy,7.7
Voltron: Legendary Defender,(2016–2018),,"Animation, Action, Adventure",8.1
Togetherness,(2015–2016),,"Comedy, Drama, Romance",7.5
The Tunnel,(2013–2018),,"Crime, Drama, Mystery",7.9
John Doe,(2002–2003),,"Drama, Mystery, Sci-Fi",7.8
NOS4A2,(2019–2020),,"Drama, Fantasy, Horror",6.7
EastEnders,(1985– ),,"Crime, Drama, Romance",4.7
Stromberg,(2004–2012),,Comedy,8.3
Mister Rogers' Neighborhood,(1968–2001),,"Family, Fantasy, Music",8.6
Mrs. Brown's Boys,(2011– ),,Comedy,7.2
The Critic,(1994–2001),,"Animation, Comedy, Drama",7.9
Berlin Station,(2016–2019),,"Drama, Thriller",7.6
Sorjonen,(2016–2020),18,"Crime, Drama, Mystery",7.6
Iste Bu Benim Masalim,(2021– ),,"Musical, Romance",1.0
Rita,(2012–2020),18,"Comedy, Drama",8.1
Mock the Week,(2005– ),,"Comedy, Game-Show",7.8
Sangsogjadeul,(2013),13,"Comedy, Drama, Romance",7.5
Outsiders,(I) (2016–2017),,"Crime, Drama",7.5
Sam & Cat,(2013–2020),,"Comedy, Drama, Family",5.7
Suzumiya Haruhi no yûutsu,(2006–2009),13,"Animation, Comedy, Fantasy",7.8
Space: Above and Beyond,(1995–1996),,"Action, Adventure, Drama",7.7
The Larry Sanders Show,(1992–1998),,Comedy,8.4
Good Witch,(2015– ),7,"Comedy, Drama, Fantasy",7.3
Remington Steele,(1982–1987),,"Action, Adventure, Comedy",7.2
Bad Blood,(2017– ),16,"Crime, Drama",7.5
Star Trek: Lower Decks,(2020– ),16,"Animation, Action, Adventure",6.9
Kurtlar Vadisi: Pusu,(2007–2016),,"Action, Crime, Drama",6.2
Hill Street Blues,(1981–1987),,"Crime, Drama, Mystery",8.1
Still Standing,(2002–2006),,"Comedy, Romance",7.5
Unsolved Mysteries,(2020– ),13,"Documentary, Crime, Mystery",7.3
Whose Line Is It Anyway?,(2013– ),,"Comedy, Game-Show",8.4
Inside Look: The Assassination of Gianni Versace - American Crime Story,(2017–2018),,"Documentary, Short",7.7
Between Two Ferns with Zach Galifianakis,(2008– ),,"Short, Comedy, Talk-Show",8.4
Tell Me a Story,(2018–2020),18,Thriller,7.2
Medcezir,(2013–2015),,"Comedy, Drama, Romance",6.9
Love Life,(2020– ),,"Comedy, Romance",7.5
Damien,(2016),,"Drama, Horror",6.9
Casual,(2015–2018),,"Comedy, Drama",7.5
Sports Night,(1998–2000),,"Comedy, Drama, Sport",8.2
Beast Wars: Transformers,(1996–1999),,"Animation, Action, Sci-Fi",8.1
High Fidelity,(2020),,"Comedy, Drama, Romance",7.7
Critical Role,(2015– ),,"Adventure, Fantasy",9.3
Sealab 2021,(2000–2005),,"Animation, Comedy, Sci-Fi",7.9
Space: 1999,(1975–1977),,"Adventure, Drama, Sci-Fi",7.3
Lexx,(1996–2002),R,"Action, Adventure, Comedy",7.3
Men Behaving Badly,(1992–2014),,Comedy,7.7
Enlightened,(2011–2013),,"Comedy, Drama",7.5
Wipeout,(2008–2014),,"Comedy, Family, Game-Show",6.5
A Gifted Man,(2011–2012),,"Drama, Fantasy",7.0
Wire in the Blood,(2002–2009),,"Crime, Drama, Mystery",8.3
Breaking In,(2011–2012),,"Comedy, Crime",7.1
The Outer Limits,(1963–1965),,"Fantasy, Horror, Sci-Fi",8.2
Freakazoid!,(1995–1997),,"Animation, Comedy, Family",7.5
Catfish: The TV Show,(2012– ),,Reality-TV,7.1
Chambers,(2019),18,"Drama, Fantasy, Horror",6.5
Liar,(2017–2020),,"Crime, Drama, Thriller",7.1
Here Comes Honey Boo Boo,(2012–2017),,Reality-TV,2.6
The Sarah Silverman Program.,(2007–2010),,Comedy,6.8
Cardinal,(2017–2020),,"Crime, Drama, Mystery",7.7
The Amanda Show,(1999–2002),,"Comedy, Family",6.7
Are You Being Served?,(1972–1985),,Comedy,7.9
Wolf's Rain,(2003–2004),,"Action, Sci-Fi, Animation",8.0
Speechless,(2016–2019),,Comedy,7.6
Aranyélet,(2015–2018),,"Action, Drama, Thriller",8.8
Parfum,(2018),18,"Drama, Thriller",7.1
Merlí,(2015–2018),18,"Comedy, Drama, Romance",8.6
Kingdom Hospital,(2004),,"Drama, Fantasy, Horror",6.8
Wonder Woman,(1975–1979),,"Action, Adventure, Drama",7.1
Vegas,(2012–2013),,"Action, Crime, Drama",7.3
War of the Worlds,(2019– ),,"Drama, Mystery, Sci-Fi",6.3
Fraggle Rock,(1983–1987),,"Animation, Adventure, Comedy",7.9
Ben de Özledim,(2013–2014),,"Comedy, Fantasy",8.1
Motherland: Fort Salem,(2020– ),,"Drama, Fantasy, Sci-Fi",7.1
Fabulous Lives of Bollywood Wives,(2020– ),18,Reality-TV,3.5
The Young Indiana Jones Chronicles,(1992–1993),,"Action, Adventure, Family",7.3
Would I Lie to You?,(2007– ),,"Comedy, Game-Show",8.1
Him-ssen yeo-ja Do Bong-soon,(2017),16,"Comedy, Crime, Drama",8.2
Clarence,(2013–2018),,"Animation, Short, Adventure",6.6
Necessary Roughness,(2011–2013),,"Comedy, Drama, Romance",7.0
Lipstick Jungle,(2008–2009),,"Comedy, Drama",6.5
The Bold and the Beautiful,(1987– ),,"Drama, Romance",3.4
The Player,(2015),,"Action, Crime, Drama",7.0
Mob City,(2013),,"Crime, Drama, Mystery",7.5
Kara Sevda,(2015–2017),,"Drama, Romance",7.2
Childrens Hospital,(2008–2016),,Comedy,7.8
Gantz,(2004),,"Animation, Action, Comedy",7.2
Transporter: The Series,(2012–2014),,"Action, Crime",6.5
Tatli Hayat,(2001–2004),,"Comedy, Family",8.5
Conviction,(I) (2016–2017),,Drama,7.2
Life with Louie,(1994–1998),,"Animation, Adventure, Comedy",8.3
The First,(2018),,"Drama, Sci-Fi",6.7
Mary Tyler Moore,(1970–1977),,Comedy,8.1
Hilda,(2018–2020),7,"Animation, Adventure, Comedy",8.6
The Good Guys,(2010),,"Action, Comedy",8.1
Trinkets,(2019–2020),18,"Comedy, Crime, Drama",7.1
Teletubbies,(1997–2001),,"Family, Fantasy, Musical",3.8
I Am the Night,(2019),,"Crime, Drama, Mystery",7.0
Mr. Pickles,(2013–2019),,"Animation, Comedy, Horror",7.4
Gintama,(2005–2018),16,"Animation, Action, Comedy",8.6
Ben 10: Alien Force,(2008–2010),All,"Animation, Action, Adventure",7.1
The Grinder,(2015–2016),,Comedy,7.1
Satyamev Jayate,(2012–2014),,"Documentary, Talk-Show",8.6
The Rockford Files,(1974–1980),,"Crime, Drama, Mystery",8.1
The Bernie Mac Show,(2001–2006),,"Comedy, Drama, Family",7.0
The Great British Bake Off,(2010– ),,Reality-TV,8.6
Harlots,(2017–2019),18,Drama,7.7
American Pickers,(2010– ),,"Documentary, Reality-TV",7.0
Blossom,(1990–1995),,"Comedy, Drama, Family",6.0
Eye Candy,(2015),,"Crime, Drama, Mystery",7.2
Damnation,(2017–2018),,"Crime, Drama, Western",7.7
High Maintenance,(2016– ),18,"Comedy, Drama",8.1
Tiny Pretty Things,(2020– ),18,"Drama, Mystery, Thriller",5.8
Phil of the Future,(2004–2006),,"Adventure, Comedy, Family",7.0
High School DxD,(2012–2018),18,"Animation, Action, Comedy",7.6
Taarak Mehta Ka Ooltah Chashmah,(2008– ),U,"Comedy, Family",8.0
Rosewood,(2015–2017),,"Crime, Drama, Mystery",6.7
Explained,(2018– ),,Documentary,8.1
The Trip,(2010– ),,Comedy,8.0
Top Cat,(1961–1962),,"Animation, Comedy, Crime",7.1
All That,(1994–2019),,"Comedy, Family, Music",7.5
9-1-1: Lone Star,(2020– ),12+,"Action, Drama, Thriller",6.6
Fantasy Island,(1977–1984),,"Adventure, Comedy, Drama",6.5
The Avengers,(1961–1969),,"Action, Comedy, Crime",8.3
Brotherhood,(2006–2008),,"Crime, Drama",7.7
Beyond,(I) (2016–2018),,"Drama, Fantasy, Mystery",7.0
Frisky Dingo,(2006–2008),,"Animation, Comedy, Sci-Fi",8.1
Finding Carter,(2014–2015),,Drama,7.5
Food Wars: Shokugeki no Soma,(2015– ),13,"Animation, Comedy, Drama",8.2
Haters Back Off!,(2016–2017),,"Comedy, Drama, Family",6.0
Leave It to Beaver,(1957–1963),,"Comedy, Family",7.5
City on a Hill,(2019– ),15+,"Crime, Drama, Thriller",7.5
Army Wives,(2007–2013),,"Drama, Romance, War",7.3
Johnny Test,(2005–2014),,"Animation, Action, Adventure",5.0
New Amsterdam,(2008),,"Crime, Drama, Sci-Fi",7.4
GTO,(1999–2000),18,"Animation, Comedy, Drama",8.6
One Strange Rock,(2018– ),,Documentary,8.8
"Bill Nye, the Science Guy",(1993–1998),,"Documentary, Comedy, Family",8.2
Liv and Maddie,(2013–2017),,"Comedy, Drama, Family",6.3
The Wrong Mans,(2013–2014),,"Comedy, Crime, Thriller",7.8
Dororo,(2019),,"Animation, Action, Adventure",8.4
La casa de las flores,(2018–2020),18+,"Comedy, Drama",7.7
Hap and Leonard,(2016–2018),16,"Crime, Drama, Mystery",7.7
Mr. Sunshine,(2011–2012),,Comedy,6.8
Murder in the First,(2014–2016),,"Crime, Drama, Mystery",7.3
Scott & Bailey,(2011–2016),,"Crime, Drama, Mystery",8.0
Plebs,(2013– ),,Comedy,7.9
JL50,(2020– ),16,"Drama, Sci-Fi, Thriller",7.5
Crossbones,(2014),,"Action, Adventure, Drama",6.5
Sunderland 'Til I Die,(2018– ),16+,"Documentary, Sport",8.1
The Being Frank Show,(2010– ),,Talk-Show,6.7
Riviera,(2017– ),,"Drama, Thriller",6.7
Dads,(I) (2013–2014),,Comedy,5.5
Kuroshitsuji,(2008–2010),,"Animation, Action, Comedy",7.8
Dirt,(2007–2008),,Drama,6.9
Bill Nye Saves the World,(2017–2018),,"Comedy, Talk-Show",3.6
"Luchshe, chem lyudi",(2018–2019),13+,"Drama, Sci-Fi",7.4
Kojak,(1973–1978),,"Action, Crime, Drama",7.1
Lost in Space,(1965–1968),,"Adventure, Comedy, Family",7.3
Beetlejuice,(1989–1991),,"Animation, Adventure, Comedy",7.3
Avengers Assemble,(2013–2019),PG,"Animation, Action, Adventure",7.0
AJ and the Queen,(2020),,"Adventure, Comedy, Drama",7.5
Jonathan Creek,(1997–2016),,"Comedy, Crime, Drama",8.1
Xiaolin Showdown,(2003–2006),,"Animation, Action, Adventure",7.5
Cory in the House,(2007–2008),,"Comedy, Family",5.1
Divorce,(2016–2019),,"Comedy, Drama",6.8
Tidelands,(2018),18,"Crime, Drama, Fantasy",7.0
Ed,(2000–2004),,"Comedy, Drama",7.5
The View,(1997– ),,Talk-Show,2.6
Abhay,(2019– ),U,"Crime, Thriller",7.8
"Yes, Dear",(2000–2006),,Comedy,7.0
Duck Dodgers,(2003–2005),,"Animation, Short, Action",7.8
The Royle Family,(1998–2012),,Comedy,8.1
Patriot Act with Hasan Minhaj,(2018–2020),18,"Comedy, News, Talk-Show",8.3
Smoke,(2018–2019),Not Rated,Thriller,8.5
Lark Rise to Candleford,(2008–2011),,"Drama, Romance",8.1
Matlock,(1986–1995),,"Crime, Drama, Mystery",7.0
How It's Made,(2001– ),,Documentary,7.8
Powerless,(2017),,"Comedy, Fantasy, Sci-Fi",6.4
Dynasty,(1981–1989),,"Drama, Romance",6.3
"Love, Victor",(2020– ),,"Comedy, Drama, Romance",8.1
Toast of London,(2012– ),,Comedy,8.2
Superjail!,(2007–2014),,"Animation, Comedy, Crime",7.7
Origin,(2018),A,"Horror, Sci-Fi",7.1
Young Wallander,(2020– ),16,"Crime, Drama, Mystery",6.8
Vratice se rode,(2007–2008),,"Comedy, Crime, Drama",8.9
Nash Bridges,(1996–2001),,"Action, Crime, Drama",6.8
The Flash,(1990–1991),,"Action, Crime, Fantasy",7.2
Laverne & Shirley,(1976–1983),,"Comedy, Family",6.9
Diagnosis Murder,(1993–2001),,"Crime, Drama, Mystery",6.8
Unsolved,(2018– ),,"Biography, Crime",7.9
Turn Up Charlie,(2019),18,Comedy,7.1
Instinct,(2018–2019),,"Crime, Drama, Mystery",6.6
God Friended Me,(2018–2020),All,"Comedy, Drama, Fantasy",6.9
Man v. Food,(2008– ),,Reality-TV,7.3
Emily Owens M.D.,(2012–2013),,"Comedy, Drama, Romance",7.5
Tokyo Ghoul: re,(2018),18,"Animation, Action, Drama",6.9
W - Du gaeui segye,(2016),16,"Drama, Fantasy, Romance",8.1
DuckTales,(2017–2021),,"Animation, Action, Adventure",8.3
Primal,(2019– ),,"Animation, Action, Adventure",8.7
A Touch of Frost,(1992–2010),,"Crime, Drama, Mystery",7.8
The Fall Guy,(1981–1986),,"Action, Adventure, Comedy",7.1
Karppi,(2018–2020),16,"Crime, Drama, Mystery",7.2
Bang Baang,(2021– ),18,"Action, Thriller",7.2
Squidbillies,(2005– ),,"Animation, Comedy",6.5
Hart to Hart,(1979–1984),,"Action, Adventure, Crime",6.6
Rake,(2010–2018),18,"Comedy, Drama",8.5
Durarara!!,(2010),,"Animation, Comedy, Crime",7.9
Kiralik Ask,(2015–2017),,"Comedy, Romance",7.1
Thundercats,(2011–2012),,"Animation, Action, Adventure",7.8
Wrecked,(2016–2018),,"Action, Adventure, Comedy",7.3
Accidentally on Purpose,(2009–2010),,"Comedy, Romance",6.3
Ghost Hunters,(2004– ),,Thriller,6.2
Late Night with Seth Meyers,(2014– ),,"Comedy, Talk-Show",6.1
The King: Youngwonui Gunjoo,(2020),16,"Fantasy, Mystery, Romance",8.2
Secret City,(2016–2019),,"Mystery, Thriller",7.4
Anthony Bourdain: No Reservations,(2005–2012),,"Adventure, Reality-TV",8.4
The Bachelor,(2002– ),,"Drama, Game-Show, Reality-TV",3.2
Clone High,(2002–2003),,"Animation, Comedy, Sci-Fi",8.1
4 Blocks,(2017–2019),,"Crime, Drama",8.2
Tales of the City,(2019),18,Drama,7.4
Search Party,(2016– ),,"Comedy, Crime, Drama",7.7
Psychoville,(2009–2011),,"Comedy, Horror, Mystery",7.9
The Proud Family,(2001–2005),,"Animation, Comedy, Family",6.4
Fear Factor,(I) (2001–2012),,"Game-Show, Reality-TV, Thriller",5.7
Das Boot,(2018– ),,"Drama, War",7.4
Blood Ties,(2007),,"Drama, Fantasy, Horror",7.2
Made in Abyss,(2017– ),,"Animation, Adventure, Drama",8.4
