Name,Position,Club,Market Value,Age,Primary Nationality,Secondary Nationality,Matches Played,Goals,Assists,Yellow Cards,Red Cards,Substituted In,Substituted Out,Second Yellow Cards,Own Goals
Deniz Undav,Centre-Forward,VfB Stuttgart,28000000,28,Germany,Türkiye,13,9,2,1,0,3,7,0,0
Ermedin Demirovic,Centre-Forward,VfB Stuttgart,28000000,26,Bosnia-Herzegovina,-,14,7,1,3,0,3,8,0,0
Denis Zakaria,Defensive Midfield,AS Monaco,28000000,27,Switzerland,DR Congo,12,3,1,2,0,2,3,0,0
Malcom,Right Winger,Al-Hilal SFC,28000000,27,Brazil,Russia,8,2,4,1,0,0,6,0,0
Mathias Jensen,Central Midfield,Brentford FC,28000000,28,Denmark,-,4,0,1,1,0,1,2,0,0
Taiwo Awoniyi,Centre-Forward,Nottingham Forest,28000000,27,Nigeria,-,5,0,0,0,0,3,1,0,0
Manuel Locatelli,Defensive Midfield,Juventus FC,28000000,26,Italy,-,8,0,0,2,0,0,6,0,0
Joe Gomez,Centre-Back,Liverpool FC,28000000,27,England,The Gambia,4,0,0,0,0,3,0,0,0
Xaver Schlager,Central Midfield,RB Leipzig,28000000,27,Austria,-,0,0,0,0,0,0,0,0,0
Stanislav Lobotka,Defensive Midfield,SSC Napoli,28000000,29,Slovakia,-,13,0,1,2,0,0,6,0,0
Luke Shaw,Left-Back,Manchester United,28000000,29,England,-,0,0,0,0,0,0,0,0,0
Jan Oblak,Goalkeeper,Atlético de Madrid,28000000,31,Slovenia,-,14,0,0,0,0,0,0,0,0
Emiliano Martínez,Goalkeeper,Aston Villa,28000000,32,Argentina,Spain,10,0,0,1,0,0,0,0,0
Alisson,Goalkeeper,Liverpool FC,28000000,32,Brazil,-,8,0,0,0,0,0,1,0,0
Aleksandar Mitrović,Centre-Forward,Al-Hilal SFC,28000000,30,Serbia,-,14,15,2,2,0,1,3,0,0
Thiago Almada,Attacking Midfield,Botafogo de Futebol e Regatas,27000000,23,Argentina,Italy,0,0,0,0,0,0,0,0,0
Galeno,Left Winger,FC Porto,27000000,26,Brazil,Portugal,11,8,0,1,0,1,3,0,0
Frank Anguissa,Central Midfield,SSC Napoli,27000000,28,Cameroon,-,10,1,0,3,0,1,0,0,0
Olivier Boscagli,Centre-Back,PSV Eindhoven,27000000,26,France,Monaco,11,0,3,0,0,0,1,0,0
Oscar Gloukh,Attacking Midfield,Red Bull Salzburg,25000000,20,Israel,-,18,5,4,1,0,4,5,0,0
Arthur Vermeeren,Central Midfield,RB Leipzig,25000000,19,Belgium,-,8,0,0,1,0,5,3,0,0
Archie Gray,Central Midfield,Tottenham Hotspur,25000000,18,England,Scotland,8,0,0,0,0,5,0,0,0
